epoch,train_loss,recall@20,ndcg@20
1,0.515501980707314,0.064,0.03736714073206507
2,0.4931163624425692,0.06,0.03354089765225163
3,0.49275762953791996,0.062,0.03567537737841323
4,0.49263182695474234,0.065,0.03616901217524325
5,0.49253499223793534,0.064,0.036194511637024473
6,0.49277250140434614,0.063,0.03652945891618362
7,0.4925714379013992,0.06,0.036906430619281276
8,0.4927185473573802,0.06,0.03611639018549325
9,0.4924520504113345,0.059,0.03686700002479357
10,0.49264076329744994,0.061,0.03630823037324977
