epoch,train_loss,recall@20,ndcg@20
1,0.7147012648582458,0.013,0.003272517961095126
2,0.6607935800552368,0.013,0.003272517961095126
3,0.6201437387466431,0.014,0.0036014845265325934
4,0.58565114402771,0.014,0.0036526792581022902
5,0.5485720148086548,0.017,0.0044521500767350985
6,0.5215428738594056,0.018,0.004601628295165594
7,0.4855126686096191,0.018,0.0045902117721026425
8,0.46403633856773374,0.016,0.00406284904099556
9,0.4394770817756653,0.016,0.004049541819303863
10,0.41615506005287173,0.017,0.004283461913827289
