model,epoch,train_loss,recall@20,ndcg@20
gru4rec,1,0.6988674597740173,0.01,0.004559059124922445
gru4rec,2,0.674385241985321,0.012,0.005555898262983137
gru4rec,3,0.6521777291297912,0.021,0.007227082917660213
gru4rec,4,0.6293663172721863,0.024,0.0073538646149019764
gru4rec,5,0.6080571556091309,0.026,0.007688109491262741
gru4rec,6,0.5761593842506408,0.034,0.009874679334402501
gru4rec,7,0.5682650485038757,0.043,0.012329447815544103
gru4rec,8,0.5484649524688721,0.042,0.012983187275134025
gru4rec,9,0.5360367140769958,0.041,0.013519455292120622
gru4rec,10,0.5206679940223694,0.042,0.014306622819016
