model,epoch,train_loss,recall@20,ndcg@20
sasrec,1,0.701636456489563,0.016,0.0045063716749638725
sasrec,2,0.6712137436866761,0.016,0.004493483262805898
sasrec,3,0.6529567413330079,0.016,0.004377047664198744
sasrec,4,0.6320845828056335,0.015,0.003982570485615665
sasrec,5,0.6154217348098755,0.015,0.003922020303366862
sasrec,6,0.5986514229774476,0.015,0.0038995934459880384
sasrec,7,0.5854884595870972,0.013,0.003396721233292474
sasrec,8,0.5675954823493957,0.013,0.003288811371709063
sasrec,9,0.5616008772850036,0.013,0.0032545189681761582
sasrec,10,0.546261148929596,0.013,0.003249680892626064
